+----------------------------------------------------------------------------------------------------+
|INVENTORY RECORD                                                                                    |
|                                                                                                    |
|COMPANY: SUPERMARKET EXAMPLE INC.                                                                   |
|                                                                                                    |
|INST. EST.: 987.654.321            C.N.P.J. : 98.765.432/0001-99                                    |
|                                                                                                    |
+----------+-----------------------------------------+--+--------------------------------------------+
|          |                                         |  |VALUES                                      |
|SKU       |PRODUCT                                  |UN|QUANTITY    |UNIT PRICE    |TOTAL           |
+----------+-----------------------------------------+--+--------------+--------------+--------------+
|1         |Apple                                    |PC|         100.|         20.00|       2000.00|
|2         |Garlic                                   |PC|         288.|         39.76|      11450.88|
|3         |Carrot                                   |PC|         273.|         37.03|      10109.19|
|4         |Lemon                                    |PC|         322.|         38.79|      12490.38|
|5         |Toothpaste                               |PC|         127.|         19.08|       2423.16|
|6         |Rice                                     |PC|         413.|         15.81|       6529.53|
|7         |Ketchup                                  |PC|         838.|          7.31|       6125.78|
|8         |Pork Chop                                |PC|         249.|         38.93|       9693.57|
|9         |Frozen Vegetables                        |PC|         783.|         24.68|      19324.44|
|10        |Toothpaste                               |PC|         265.|         18.14|       4807.10|
|11        |Frozen Vegetables                        |PC|          33.|         26.98|        890.34|
|12        |Beans                                    |PC|         707.|         28.60|      20220.20|
|13        |Whiskey                                  |PC|         937.|         11.02|      10325.74|
|14        |Butter                                   |PC|         357.|         32.69|      11670.33|
|15        |Tomato                                   |PC|         862.|         46.87|      40401.94|
|16        |Shampoo                                  |PC|         667.|         18.15|      12106.05|
|17        |Mayonnaise                               |PC|         603.|          4.04|       2436.12|
|18        |Salt                                     |PC|         301.|         25.21|       7588.21|
|19        |Soft Drinks                              |PC|         285.|         45.01|      12827.85|
|20        |Butter                                   |PC|         115.|         33.07|       3803.05|
|21        |Cheese                                   |PC|         916.|         28.96|      26527.36|
|22        |Coffee                                   |PC|          49.|         48.33|       2368.17|
|23        |Ice Cream                                |PC|         501.|         14.89|       7459.89|
|24        |Tuna Can                                 |PC|         453.|         16.07|       7279.71|
|25        |Apple                                    |PC|         342.|         27.68|       9466.56|
|26        |Potato Chips                             |PC|         458.|          6.09|       2789.22|
|27        |Sugar                                    |PC|         628.|         19.95|      12528.60|
|28        |Soy Sauce                                |PC|         360.|          8.89|       3200.40|
|29        |Watermelon                               |PC|         312.|         29.04|       9060.48|
|30        |Soap                                     |PC|         745.|          9.98|       7435.10|
|31        |Chicken Breast                           |PC|         946.|         18.70|      17690.20|
|32        |Ground Beef                              |PC|         546.|         37.56|      20507.76|
|33        |Soft Drinks                              |PC|         612.|         49.51|      30300.12|
|34        |Soft Drinks                              |PC|          96.|         12.14|       1165.44|
|35        |Grapes                                   |PC|         876.|         17.60|      15417.60|
|36        |Salmon                                   |PC|         724.|         42.93|      31081.32|
|37        |Ketchup                                  |PC|         877.|         37.83|      33176.91|
|38        |Peas                                     |PC|         475.|         48.36|      22971.00|
|39        |Pepper                                   |PC|         966.|         11.93|      11524.38|
|40        |Milk                                     |PC|         794.|          5.74|       4557.56|
